n_rpm,fz_mm,ap_mm,ae_mm,vib_x_mean_abs,vib_x_std,vib_x_rms,vib_x_peak,vib_y_mean_abs,vib_y_std,vib_y_rms,vib_y_peak,vib_z_mean_abs,vib_z_std,vib_z_rms,vib_z_peak,Ra_um,harm_1,harm_2,harm_3,harm_4,harm_5,harm_6,harm_7,harm_8
2798.77,0.1163,1.602,6.261,0.330584,0.359517,0.359526,0.524992,0.228451,0.249149,0.249204,0.385069,0.125925,0.143183,0.1432,0.254901,1.7223,1.927196,0.793585,0.437217,0.252557,0.193904,0.152675,0.123865,0.104922
1215.52,0.0817,1.025,1.557,0.067466,0.079757,0.079758,0.146449,0.050032,0.056613,0.056623,0.095383,0.028318,0.032031,0.032033,0.049984,0.5308,0.539806,0.196281,0.124683,0.081763,0.053163,0.043121,0.03615,0.02904
2974.24,0.1179,1.743,1.988,0.188831,0.223222,0.223222,0.380422,0.136823,0.155757,0.155761,0.294241,0.082018,0.089142,0.089143,0.158039,1.2251,1.497313,0.522607,0.254291,0.182097,0.153249,0.11872,0.089558,0.071982
592.08,0.1291,2.389,5.786,0.500485,0.570041,0.570084,1.16576,0.344978,0.400494,0.400501,0.719162,0.199094,0.229172,0.229173,0.406502,3.0497,3.109678,1.221607,0.75211,0.462022,0.336965,0.275586,0.203094,0.179512
2745.36,0.0668,1.414,1.616,0.079985,0.09156,0.09156,0.156262,0.055185,0.064338,0.064344,0.11866,0.031447,0.036629,0.03663,0.075593,0.4255,0.420315,0.179266,0.107553,0.067024,0.047923,0.035968,0.032474,0.027716
1470.85,0.053,1.571,7.033,0.142187,0.17003,0.170046,0.307555,0.100781,0.119086,0.119091,0.206933,0.059021,0.068321,0.068321,0.128022,0.7503,0.789389,0.321831,0.178529,0.124076,0.097371,0.067933,0.049786,0.045423
2013.61,0.1102,2.585,2.063,0.287596,0.315131,0.315146,0.470493,0.204538,0.219511,0.219515,0.325414,0.108282,0.126047,0.126109,0.217442,1.4268,1.473993,0.666083,0.358101,0.235597,0.171868,0.122121,0.113947,0.083747
987.33,0.1208,0.741,4.316,0.118191,0.143804,0.14399,0.306094,0.079627,0.098273,0.098439,0.200037,0.052716,0.056557,0.056616,0.087365,1.1607,1.212372,0.445808,0.242547,0.177742,0.123438,0.099056,0.070517,0.061685
1165.15,0.0404,0.941,3.422,0.049705,0.054207,0.054208,0.09194,0.031553,0.03687,0.036908,0.079028,0.019331,0.021415,0.021429,0.032161,0.324,0.324845,0.12505,0.069628,0.051718,0.039502,0.027504,0.022013,0.017943
989.33,0.0698,1.885,7.1,0.227082,0.269033,0.269466,0.493029,0.164798,0.188853,0.189128,0.365167,0.094891,0.105782,0.105799,0.196275,1.3898,1.589969,0.580359,0.311241,0.199581,0.143083,0.128701,0.09275,0.077998
1645.55,0.0917,0.626,5.716,0.09122,0.105486,0.105486,0.183529,0.067048,0.073565,0.073566,0.125952,0.035232,0.042118,0.042119,0.084891,0.7115,0.642651,0.289966,0.147336,0.114095,0.083579,0.052548,0.049154,0.039993
828.01,0.0374,0.961,5.175,0.056076,0.061876,0.061885,0.096483,0.037923,0.044249,0.044352,0.079738,0.022625,0.025213,0.025284,0.047155,0.3158,0.340312,0.126423,0.075126,0.047417,0.035511,0.027878,0.021602,0.014942
1467.48,0.1049,0.956,1.52,0.079103,0.094684,0.094711,0.192188,0.057715,0.066806,0.06681,0.137767,0.032848,0.038017,0.038024,0.065729,0.7335,0.776386,0.284288,0.170948,0.120009,0.080497,0.065222,0.044655,0.040392
984.29,0.0874,2.731,3.68,0.303326,0.350545,0.351136,0.604821,0.211093,0.248037,0.248137,0.479325,0.118401,0.140582,0.140627,0.277444,1.4305,1.727098,0.54631,0.368206,0.23403,0.175775,0.132622,0.098234,0.086241
980.93,0.1209,2.937,3.287,0.418913,0.488748,0.489562,0.903013,0.313375,0.349485,0.349485,0.54574,0.178928,0.200938,0.201021,0.338653,2.1148,2.42758,0.862836,0.503476,0.344616,0.286769,0.19872,0.168943,0.122625
2202.79,0.0946,2.205,7.033,0.372897,0.425593,0.42565,0.842703,0.260555,0.297412,0.297418,0.551585,0.156149,0.170654,0.170655,0.265562,1.7165,2.018016,0.75735,0.444521,0.317098,0.224731,0.163954,0.115049,0.10339
1113.5,0.0846,2.114,1.135,0.133512,0.146964,0.147081,0.23207,0.083756,0.103463,0.103601,0.207976,0.051074,0.058459,0.058462,0.112913,0.8941,0.954514,0.378953,0.203208,0.141751,0.105075,0.081077,0.053167,0.049842
1126.51,0.1134,1.928,7.043,0.383117,0.440064,0.440207,0.712002,0.265212,0.30916,0.309599,0.559255,0.161242,0.179514,0.179774,0.342748,1.9356,2.048699,0.855579,0.485983,0.324489,0.252969,0.177961,0.140038,0.119985
2730.25,0.0211,2.701,1.388,0.043094,0.051387,0.051387,0.090851,0.029092,0.036126,0.036129,0.071959,0.017045,0.020568,0.020569,0.044127,0.1792,0.208949,0.084132,0.051812,0.029318,0.022162,0.017825,0.015084,0.012433
1254.94,0.0864,1.991,6.64,0.293447,0.344157,0.34456,0.643105,0.214179,0.240813,0.240854,0.474316,0.123539,0.136808,0.136814,0.213792,1.5572,1.894677,0.644016,0.378588,0.261753,0.18167,0.139856,0.112391,0.087951
2931.64,0.1465,2.994,3.659,0.549554,0.641307,0.641435,1.296383,0.413194,0.449529,0.449573,0.737529,0.214653,0.25685,0.256887,0.534015,2.9104,3.178365,1.218266,0.718126,0.458206,0.3822,0.298753,0.225594,0.172411
563.24,0.067,1.794,1.301,0.0977,0.105642,0.105817,0.167971,0.062621,0.073204,0.073315,0.124743,0.035392,0.040704,0.040867,0.070787,0.6699,0.71732,0.271147,0.133612,0.100821,0.077714,0.059291,0.041984,0.034117
910.37,0.086,2.645,2.957,0.266484,0.300279,0.300299,0.487345,0.178994,0.210456,0.210474,0.439352,0.104512,0.119805,0.119809,0.214503,1.4594,1.744085,0.617532,0.372879,0.243089,0.181604,0.12412,0.110728,0.085132
1639.76,0.0452,2.977,6.675,0.22706,0.265368,0.265383,0.492779,0.165814,0.186167,0.186175,0.367923,0.09179,0.106904,0.106905,0.198293,0.841,0.956369,0.36945,0.220434,0.149418,0.109912,0.080957,0.056464,0.059914
1253.1,0.1333,1.294,5.074,0.265456,0.295403,0.295421,0.47443,0.187407,0.207612,0.207754,0.403676,0.108874,0.120968,0.121132,0.215441,1.7231,2.029442,0.661918,0.395078,0.252994,0.192964,0.13142,0.114062,0.101527
2983.98,0.143,1.056,4.605,0.220003,0.247802,0.24781,0.413711,0.150846,0.173068,0.173076,0.315545,0.086239,0.099478,0.09948,0.170755,1.6163,1.61775,0.648219,0.399114,0.250506,0.208184,0.150346,0.110371,0.098519
2114.81,0.0644,2.041,3.304,0.162924,0.183595,0.183602,0.358031,0.114065,0.12849,0.128494,0.210716,0.058652,0.073355,0.073357,0.143172,0.7719,0.828577,0.369747,0.172135,0.130127,0.090844,0.069607,0.053389,0.04669
2286.08,0.1284,0.701,6.211,0.149657,0.171922,0.171929,0.293331,0.104081,0.120367,0.120379,0.24687,0.056121,0.069061,0.069067,0.144436,1.2767,1.358548,0.508281,0.29884,0.2037,0.144199,0.111612,0.092914,0.071694
780.74,0.0642,1.145,1.795,0.066895,0.076005,0.076066,0.119038,0.047119,0.053914,0.053993,0.089601,0.025138,0.030083,0.030099,0.065525,0.5037,0.530728,0.207519,0.114205,0.077753,0.055613,0.041668,0.034154,0.026804
1635.71,0.1491,2.629,3.304,0.451865,0.548779,0.548782,0.978224,0.33091,0.383846,0.38385,0.628509,0.187688,0.217877,0.217891,0.445697,2.5001,2.853275,1.050285,0.651825,0.432369,0.272955,0.225222,0.194099,0.15245
2443.23,0.1435,2.619,3.494,0.486536,0.539865,0.539949,0.849308,0.32321,0.374576,0.374578,0.637231,0.191573,0.215411,0.215412,0.353597,2.1409,2.092195,0.891322,0.608847,0.340091,0.277182,0.206938,0.14915,0.117675
1757.71,0.0303,1.803,4.651,0.079542,0.089561,0.089591,0.159459,0.055269,0.063205,0.063225,0.099798,0.031291,0.036416,0.036418,0.076295,0.4091,0.482102,0.17073,0.11334,0.063788,0.051031,0.036392,0.025759,0.026036
2943.91,0.053,2.122,2.537,0.122495,0.138422,0.138424,0.250547,0.085527,0.096883,0.096884,0.16454,0.047267,0.055027,0.055035,0.1033,0.6188,0.672908,0.276021,0.163907,0.102063,0.085425,0.060177,0.043782,0.036651
1366.69,0.0353,1.132,4.055,0.051129,0.061861,0.061865,0.129492,0.038043,0.043333,0.043337,0.084484,0.021094,0.024737,0.024739,0.044152,0.3115,0.323496,0.137566,0.073329,0.048393,0.037573,0.030941,0.023382,0.017449
2436.14,0.1144,0.672,3.843,0.101372,0.115065,0.115066,0.186664,0.066223,0.080446,0.080446,0.153525,0.039194,0.046148,0.046148,0.087795,0.8023,0.845513,0.331059,0.200239,0.11618,0.089842,0.075801,0.054614,0.05023
1658.6,0.1143,2.872,3.734,0.392463,0.489502,0.489524,0.909235,0.288981,0.341485,0.341493,0.593965,0.170908,0.195287,0.195293,0.339686,1.9775,2.226807,0.822612,0.5223,0.342237,0.2603,0.180384,0.159398,0.111309
1248.9,0.0645,1.16,3.011,0.084505,0.099267,0.09932,0.204584,0.061003,0.069304,0.069324,0.11982,0.033973,0.03948,0.039491,0.065885,0.5682,0.613263,0.217559,0.137416,0.08464,0.071908,0.050427,0.038872,0.027192
1979.38,0.0697,1.115,1.688,0.069165,0.07801,0.078025,0.119556,0.05005,0.054275,0.054279,0.08028,0.027095,0.030806,0.030806,0.050035,0.428,0.456587,0.19419,0.099301,0.065716,0.045878,0.037397,0.031464,0.023988
2758.51,0.1334,2.321,7.909,0.610802,0.665668,0.665668,0.975633,0.386788,0.469434,0.469531,0.906965,0.233783,0.266464,0.266502,0.523787,2.3218,2.672104,1.033082,0.63951,0.429526,0.262476,0.254106,0.193135,0.153028
1514.21,0.1104,1.463,7.163,0.298325,0.333487,0.333518,0.56158,0.190192,0.234253,0.234283,0.441468,0.115666,0.133876,0.133893,0.239447,1.6896,1.814572,0.693395,0.415589,0.258904,0.204032,0.146158,0.111644,0.103688
1000.83,0.1169,2.206,4.027,0.348275,0.402023,0.402215,0.773921,0.212575,0.272844,0.273284,0.55082,0.141003,0.158205,0.158222,0.254272,2.0595,1.99811,0.890493,0.456471,0.328032,0.236705,0.167326,0.149437,0.107483
1365.62,0.1301,0.855,5.974,0.186782,0.207525,0.207525,0.346324,0.125736,0.14538,0.145382,0.252243,0.06991,0.083174,0.083176,0.174036,1.1687,1.396903,0.533496,0.289518,0.203154,0.129408,0.106779,0.082111,0.063565
2161.75,0.1065,1.611,3.325,0.201199,0.240014,0.240087,0.44986,0.136527,0.168701,0.168766,0.305711,0.084905,0.095409,0.09542,0.161964,1.2383,1.408306,0.484883,0.274126,0.200806,0.159275,0.109,0.089178,0.062859
2260.38,0.134,1.55,5.646,0.318366,0.37892,0.378925,0.811183,0.230186,0.264982,0.264984,0.546164,0.136139,0.151948,0.151952,0.255824,1.6945,1.900676,0.730051,0.430074,0.304857,0.225894,0.151837,0.124601,0.107161
1588.02,0.1253,2.861,4.412,0.530864,0.584425,0.58443,0.888541,0.315504,0.403378,0.403644,0.780029,0.208156,0.233591,0.233596,0.358964,2.6457,3.091269,1.08583,0.674558,0.433447,0.307351,0.227894,0.184898,0.171907
2225.88,0.0335,1.756,7.187,0.098932,0.120452,0.120463,0.244438,0.07059,0.084818,0.084822,0.164799,0.041858,0.048403,0.048406,0.092984,0.4718,0.540191,0.215597,0.115338,0.077489,0.060223,0.045173,0.033581,0.030224
2768.74,0.0313,2.233,3.087,0.08352,0.094326,0.094351,0.159035,0.055579,0.065824,0.065839,0.139719,0.031357,0.037956,0.037961,0.079907,0.3453,0.392075,0.151442,0.09728,0.058908,0.045518,0.037244,0.026704,0.024302
1804.08,0.0431,2.408,1.701,0.084593,0.103768,0.103768,0.20671,0.059746,0.072647,0.072647,0.143891,0.037129,0.041632,0.041632,0.080303,0.4974,0.566239,0.198195,0.122343,0.082408,0.060451,0.047069,0.033105,0.031724
650.92,0.1374,1.956,1.953,0.244023,0.284841,0.284965,0.532673,0.171745,0.198758,0.198783,0.418179,0.095691,0.114492,0.114715,0.222018,2.1792,2.350839,0.837213,0.449026,0.276021,0.208861,0.182727,0.144256,0.10342
1037.24,0.0225,2.026,7.863,0.080365,0.097323,0.097342,0.174338,0.061443,0.06854,0.068548,0.121863,0.034692,0.039205,0.039209,0.063526,0.3531,0.394058,0.165369,0.078404,0.065662,0.040308,0.035994,0.026152,0.024227
735.59,0.0463,2.597,4.012,0.163417,0.186482,0.186484,0.315607,0.116896,0.127101,0.12717,0.22397,0.062251,0.074524,0.074526,0.128242,0.7085,0.757583,0.31645,0.171913,0.111736,0.088651,0.069011,0.051714,0.038846
1664.52,0.0727,2.213,5.69,0.261749,0.293352,0.293353,0.513639,0.182251,0.207814,0.207836,0.361987,0.104353,0.117307,0.117307,0.187645,1.2896,1.422871,0.564274,0.288649,0.205048,0.140423,0.120346,0.095127,0.082372
648.77,0.0856,1.27,1.023,0.073762,0.083095,0.083133,0.155174,0.048614,0.058923,0.05901,0.119509,0.02932,0.033903,0.033956,0.059013,0.6803,0.739953,0.285178,0.150983,0.101683,0.078216,0.056438,0.038376,0.032239
2878.5,0.0582,1.896,5.143,0.166813,0.191727,0.191735,0.32578,0.119239,0.134731,0.134741,0.225469,0.064838,0.076416,0.076416,0.162442,0.7032,0.810731,0.306459,0.197634,0.120298,0.085289,0.072486,0.060017,0.044745
1071.42,0.0499,1.292,1.763,0.057307,0.065128,0.065129,0.102071,0.039013,0.046154,0.046166,0.076253,0.023097,0.026624,0.026636,0.046337,0.3919,0.417923,0.156036,0.092466,0.061354,0.042121,0.034108,0.025114,0.020495
2706.07,0.1143,0.642,7.81,0.142981,0.157238,0.157239,0.292876,0.100105,0.110181,0.110182,0.197596,0.055323,0.062845,0.062845,0.099976,1.047,1.089592,0.436673,0.237204,0.157516,0.12595,0.097121,0.08218,0.060879
1967.21,0.0388,0.806,3.306,0.037465,0.043502,0.043502,0.08716,0.027096,0.030523,0.030524,0.051441,0.01607,0.017416,0.017416,0.025689,0.2179,0.231821,0.081441,0.050986,0.035348,0.024976,0.019357,0.0159,0.013731
2388.95,0.1261,1.749,5.75,0.358512,0.406395,0.406397,0.809669,0.246271,0.283712,0.283717,0.541341,0.141965,0.162601,0.162602,0.299752,2.1798,2.369504,1.028364,0.565163,0.374767,0.257972,0.191747,0.153274,0.121124
918.75,0.0216,0.665,2.404,0.014628,0.016976,0.016977,0.028218,0.010573,0.012013,0.012017,0.018989,0.006068,0.006789,0.00679,0.011827,0.1033,0.109647,0.045289,0.023027,0.015659,0.01123,0.009278,0.006671,0.005154
615.38,0.1219,2.447,5.683,0.495599,0.556111,0.556545,0.941458,0.330333,0.38447,0.384648,0.674292,0.185498,0.218282,0.218351,0.444052,2.4173,2.794467,1.03435,0.603102,0.425021,0.309102,0.213392,0.174337,0.135821
1899.58,0.0334,1.104,4.497,0.051417,0.060399,0.060403,0.105854,0.036636,0.041868,0.041876,0.074736,0.021659,0.023983,0.023985,0.037145,0.3003,0.308011,0.116452,0.072938,0.056051,0.036688,0.027858,0.022082,0.017262
2821.54,0.0303,0.748,5.979,0.035445,0.042663,0.042663,0.085415,0.025359,0.029564,0.029567,0.058628,0.015442,0.017066,0.017066,0.028422,0.2041,0.222212,0.083767,0.053158,0.035456,0.024567,0.01816,0.017236,0.011112
1252.74,0.0665,0.896,5.364,0.084931,0.10682,0.106904,0.197175,0.064298,0.073724,0.073758,0.147192,0.036118,0.043018,0.043067,0.085943,0.742,0.835161,0.326309,0.155535,0.11041,0.082415,0.06834,0.048798,0.039865
2969.98,0.0542,2.175,5.593,0.195831,0.214478,0.214482,0.362839,0.128335,0.150061,0.150065,0.317154,0.074958,0.085554,0.085558,0.16758,0.7305,0.931778,0.339069,0.193215,0.131343,0.092493,0.072012,0.059099,0.047215
1674.64,0.0847,0.67,7.647,0.10712,0.119753,0.119754,0.189821,0.074101,0.08397,0.083973,0.134048,0.041745,0.047895,0.047895,0.087916,0.7708,0.767583,0.323005,0.172912,0.111632,0.080514,0.068098,0.049192,0.039642
1431.82,0.1461,2.587,1.21,0.276567,0.319031,0.319223,0.547977,0.192933,0.224553,0.224589,0.462194,0.106474,0.126322,0.126437,0.249736,2.0643,2.200017,0.797628,0.490101,0.293575,0.238417,0.172819,0.145705,0.105789
1220.64,0.0587,2.817,7.295,0.291933,0.346356,0.346457,0.69858,0.211477,0.238576,0.238583,0.39099,0.12214,0.136911,0.136928,0.232267,1.2028,1.430918,0.5716,0.283446,0.215195,0.144263,0.120836,0.090457,0.074942
1831.84,0.0576,1.136,5.066,0.10116,0.11239,0.11239,0.171272,0.067345,0.079312,0.079323,0.15052,0.037655,0.044851,0.044852,0.081762,0.5105,0.568964,0.237101,0.12928,0.090671,0.066931,0.047941,0.038389,0.02963
1430.91,0.0824,2.305,4.958,0.285231,0.323374,0.323512,0.611346,0.202073,0.226802,0.226819,0.376914,0.113186,0.128889,0.128976,0.228595,1.1569,1.281166,0.539274,0.311613,0.199864,0.157855,0.114978,0.090793,0.062198
1599.53,0.0567,1.794,3.482,0.119035,0.146257,0.146277,0.255293,0.088854,0.10208,0.102123,0.201581,0.050964,0.058895,0.058902,0.112615,0.6372,0.690538,0.284924,0.156895,0.102554,0.076835,0.06454,0.044996,0.036097
780.65,0.039,1.842,1.296,0.056025,0.062233,0.062233,0.107331,0.039006,0.045199,0.045282,0.084992,0.021926,0.025004,0.025017,0.049404,0.3143,0.308568,0.131026,0.070072,0.051828,0.037181,0.028764,0.020921,0.016554
1236.02,0.092,2.82,1.515,0.210565,0.24396,0.244033,0.510637,0.146569,0.170337,0.170337,0.331503,0.083078,0.097787,0.097822,0.202237,1.1841,1.23317,0.485216,0.302002,0.205055,0.146355,0.099486,0.075463,0.070214
2617.63,0.1425,1.806,7.176,0.472933,0.528272,0.528398,0.924719,0.327936,0.371341,0.371437,0.600319,0.185971,0.210661,0.210687,0.39763,2.4943,2.684919,1.071305,0.539062,0.41969,0.341037,0.234212,0.175511,0.147014
2873.21,0.0671,2.214,1.005,0.106268,0.114112,0.114112,0.18253,0.069505,0.080663,0.08067,0.162155,0.037561,0.045592,0.045592,0.096408,0.5004,0.571342,0.211104,0.124584,0.081524,0.060976,0.049453,0.040116,0.030884
982.15,0.0437,2.122,3.733,0.124294,0.137154,0.137239,0.203765,0.08438,0.095408,0.095466,0.172657,0.047573,0.054507,0.054552,0.103191,0.61,0.698892,0.266607,0.143831,0.098808,0.073323,0.050226,0.045879,0.02865
2328.83,0.0533,2.433,4.216,0.18035,0.205417,0.205418,0.408667,0.129826,0.144032,0.144043,0.208343,0.072727,0.082351,0.082355,0.141132,0.7502,0.895987,0.350801,0.197255,0.136402,0.089611,0.068156,0.066182,0.041583
2834.71,0.0291,0.634,7.327,0.035835,0.038355,0.038355,0.057573,0.023334,0.026864,0.026864,0.051728,0.013726,0.015353,0.015353,0.025569,0.1337,0.15143,0.0575,0.035706,0.022883,0.017209,0.013999,0.010814,0.008871
701.2,0.0318,2.491,2.279,0.075082,0.092135,0.092156,0.191253,0.059764,0.065881,0.065881,0.096317,0.030048,0.036261,0.036359,0.070018,0.4026,0.401628,0.166354,0.103254,0.064797,0.051193,0.032996,0.029235,0.023648
2099.89,0.1234,1.877,3.487,0.289388,0.331861,0.331861,0.631591,0.194623,0.232282,0.232282,0.43953,0.112311,0.132739,0.132739,0.269944,1.6638,2.015518,0.717677,0.464797,0.28215,0.200656,0.174099,0.122627,0.100713
2494.1,0.0737,1.834,5.527,0.21757,0.244294,0.244301,0.357006,0.151807,0.171119,0.171123,0.251182,0.085416,0.096763,0.096792,0.197068,0.9486,1.132385,0.413806,0.229565,0.163964,0.134752,0.093632,0.074026,0.064449
2989.44,0.0441,2.575,6.229,0.186853,0.217309,0.217312,0.339104,0.131467,0.152579,0.152579,0.263637,0.072738,0.086814,0.086816,0.154287,0.8077,0.941443,0.362072,0.195224,0.141476,0.113259,0.085798,0.066133,0.050671
2068.91,0.1051,0.56,5.843,0.096556,0.109298,0.109308,0.180834,0.063707,0.076857,0.076859,0.141054,0.038774,0.043686,0.043688,0.075004,0.8318,0.898054,0.322403,0.188142,0.11505,0.095525,0.068161,0.059407,0.046148
1674.79,0.051,1.264,7.315,0.113101,0.133587,0.133592,0.276102,0.081057,0.093585,0.093592,0.167107,0.045324,0.053936,0.053948,0.097065,0.6346,0.65745,0.263744,0.143283,0.106122,0.078196,0.055177,0.048057,0.036542
853.21,0.0376,2.327,7.112,0.149983,0.180053,0.180121,0.315404,0.116254,0.126562,0.126658,0.208808,0.062599,0.07332,0.073322,0.132049,0.7184,0.87978,0.313332,0.186684,0.129109,0.085253,0.065957,0.048125,0.041175
1835.21,0.1494,1.087,4.021,0.213364,0.25159,0.251659,0.413732,0.160288,0.174323,0.174344,0.310293,0.085523,0.100964,0.101,0.174897,1.5668,1.62772,0.631556,0.398325,0.233952,0.168511,0.128992,0.10761,0.076113
1221.73,0.1471,1.927,4.498,0.407702,0.457889,0.457892,0.767687,0.27356,0.320752,0.320763,0.633454,0.156689,0.183402,0.183402,0.294253,2.5223,2.573708,1.020869,0.590804,0.383836,0.309138,0.208908,0.171909,0.129191
1466.79,0.0882,1.138,4.501,0.139443,0.161616,0.161675,0.315578,0.100802,0.115029,0.115033,0.195693,0.059023,0.065375,0.065384,0.103775,0.9067,1.035309,0.372427,0.228991,0.128958,0.100583,0.082746,0.062221,0.047436
2671.29,0.1263,1.749,4.004,0.294163,0.337384,0.337422,0.590717,0.218596,0.237291,0.237305,0.40159,0.110369,0.136093,0.136095,0.254847,1.8026,2.028195,0.736596,0.493438,0.299018,0.24669,0.160241,0.132495,0.119063
855.69,0.0687,1.456,6.249,0.158725,0.193152,0.193157,0.344278,0.116855,0.134839,0.134856,0.232599,0.062214,0.075758,0.075869,0.142497,0.9415,0.989592,0.40195,0.232386,0.152091,0.103016,0.081472,0.066146,0.050145
1648.32,0.0321,2.237,7.722,0.126255,0.1529,0.1529,0.327156,0.093415,0.107041,0.107041,0.187375,0.051801,0.061142,0.061142,0.108722,0.6252,0.731446,0.266326,0.170736,0.115137,0.07928,0.058535,0.045361,0.038308
1249.57,0.0719,1.645,3.476,0.14733,0.169303,0.169418,0.298394,0.098169,0.120195,0.120322,0.24344,0.057922,0.068027,0.068069,0.124211,0.9683,0.998488,0.388205,0.194161,0.162487,0.127039,0.087676,0.06438,0.055035
1783.69,0.0907,2.993,5.186,0.433908,0.474776,0.474792,0.847547,0.298385,0.332935,0.332939,0.557759,0.166702,0.189534,0.189544,0.310984,1.7678,2.184806,0.854594,0.454167,0.297014,0.242637,0.175189,0.14331,0.109107
1116.15,0.0972,1.781,4.463,0.2483,0.283341,0.283537,0.506979,0.174878,0.193266,0.193281,0.344562,0.091998,0.112125,0.112266,0.204245,1.5217,1.645694,0.612778,0.386909,0.227171,0.188413,0.114601,0.111505,0.088429
1414.1,0.102,2.851,7.773,0.514147,0.616786,0.617139,1.349991,0.371512,0.433246,0.433273,0.780071,0.214331,0.250078,0.250096,0.414819,2.422,2.755156,1.063144,0.534883,0.435265,0.270112,0.232134,0.188099,0.125265
2156.92,0.0876,1.464,4.998,0.19161,0.219876,0.219946,0.398946,0.127368,0.154515,0.154564,0.256059,0.073554,0.087723,0.087741,0.185437,1.0441,1.154837,0.418475,0.251933,0.176626,0.129552,0.097495,0.077538,0.065627
2373.33,0.0564,2.136,7.989,0.240186,0.262003,0.262012,0.397207,0.164465,0.182622,0.182635,0.289723,0.094069,0.10448,0.104487,0.196013,0.7829,0.914529,0.345357,0.198913,0.143844,0.101044,0.088676,0.061435,0.054053
